Feminino,Masculino,Ensino
10857.142857142857,10255.813953488372,Não tenho graduação formal
3119.0476190476193,4318.75,Graduando
7284.172661870503,8733.333333333334,Graduação
9232.704402515723,10892.857142857143,Pós-graduação
9712.121212121212,14209.543568464731,Mestrado
9611.111111111111,13443.037974683544,Doutorado ou Phd
