,"('P1_h ', 'Nivel de Ensino')",Masculino,Feminino
0,Doutorado ou Phd,13443.037974683544,9611.111111111111
1,Estudante de Graduação,4318.75,3119.0476190476193
2,Graduação/Bacharelado,8733.333333333334,7284.172661870503
3,Mestrado,14209.543568464731,9712.121212121212
4,Não tenho graduação formal,10255.813953488372,10857.142857142857
5,Pós-graduação,10892.857142857143,9232.704402515723
