,salario,Feminino,Masculino,Outro
0,1500.0,23,102,1
1,2500.0,40,140,0
2,3500.0,40,143,0
3,5000.0,83,317,3
4,7000.0,80,313,0
5,10000.0,97,382,0
6,14000.0,34,229,0
7,18000.0,16,113,0
8,22500.0,8,54,0
9,27500.0,4,39,0
10,35000.0,3,34,1
11,41000.0,3,31,0
