,Masculino,Feminino,Ensino
4,2.5186567164179103,1.4198782961460445,Não tenho graduação 
1,15.391791044776118,11.359026369168356,Estudante de Graduação
2,34.74813432835821,32.25152129817444,Graduação/Bacharelado
5,30.410447761194032,34.68559837728195,Pós-graduação
3,12.453358208955224,15.618661257606492,Mestrado
0,4.337686567164179,4.665314401622718,Doutorado ou Phd
