,experiencia_anos,Masculino,Feminino
0,0.0,6146.739130434783,6203.7037037037035
1,0.5,4867.021276595745,4767.045454545455
2,1.5,6537.249283667622,6511.627906976744
3,2.5,8781.094527363184,8158.536585365854
4,4.5,12039.556962025317,10050.0
5,8.0,14380.851063829787,12219.512195121952
6,12.0,16536.199095022625,13000.0
