motivo,quantidade
Remuneração,1376.0
Benefícios,292.0
Propósito do trabalho e da empresa,430.0
Flexibilidade de trabalho remoto,778.0
Ambiente e clima de trabalho,399.0
Aprendizado e convivência com referências na área,756.0
Plano de carreira e oportunidades,686.0
Maturidade da empresa em termos de tecnologia,325.0
Qualidade dos gestores e líderes,153.0
Reputação que a empresa tem no mercado,105.0
